,Unnamed: 0,지역,측정소명,측정일시,미세먼지,초미세먼지,주소
13,390229,광주 동구,서석동,2017040114,,,광주 동구 서남로 1
37,390253,광주 동구,서석동,2017040214,53,19,광주 동구 서남로 1
61,390277,광주 동구,서석동,2017040314,61,38,광주 동구 서남로 1
85,390301,광주 동구,서석동,2017040414,65,36,광주 동구 서남로 1
109,390325,광주 동구,서석동,2017040514,30,5,광주 동구 서남로 1
133,390349,광주 동구,서석동,2017040614,19,15,광주 동구 서남로 1
157,390373,광주 동구,서석동,2017040714,32,16,광주 동구 서남로 1
181,390397,광주 동구,서석동,2017040814,40,26,광주 동구 서남로 1
205,390421,광주 동구,서석동,2017040914,61,34,광주 동구 서남로 1
229,390445,광주 동구,서석동,2017041014,17,7,광주 동구 서남로 1
253,390469,광주 동구,서석동,2017041114,17,4,광주 동구 서남로 1
277,390493,광주 동구,서석동,2017041214,120,3,광주 동구 서남로 1
301,390517,광주 동구,서석동,2017041314,84,25,광주 동구 서남로 1
325,390541,광주 동구,서석동,2017041414,56,2,광주 동구 서남로 1
349,390565,광주 동구,서석동,2017041514,25,10,광주 동구 서남로 1
373,390589,광주 동구,서석동,2017041614,46,15,광주 동구 서남로 1
397,390613,광주 동구,서석동,2017041714,3,1,광주 동구 서남로 1
421,390637,광주 동구,서석동,2017041814,116,39,광주 동구 서남로 1
445,390661,광주 동구,서석동,2017041914,161,13,광주 동구 서남로 1
469,390685,광주 동구,서석동,2017042014,75,15,광주 동구 서남로 1
493,390709,광주 동구,서석동,2017042114,96,11,광주 동구 서남로 1
517,390733,광주 동구,서석동,2017042214,94,18,광주 동구 서남로 1
541,390757,광주 동구,서석동,2017042314,61,20,광주 동구 서남로 1
565,390781,광주 동구,서석동,2017042414,40,5,광주 동구 서남로 1
589,390805,광주 동구,서석동,2017042514,40,7,광주 동구 서남로 1
613,390829,광주 동구,서석동,2017042614,36,13,광주 동구 서남로 1
637,390853,광주 동구,서석동,2017042714,50,5,광주 동구 서남로 1
661,390877,광주 동구,서석동,2017042814,50,9,광주 동구 서남로 1
685,390901,광주 동구,서석동,2017042914,44,10,광주 동구 서남로 1
709,390925,광주 동구,서석동,2017043014,93,38,광주 동구 서남로 1
733,390949,광주 동구,서석동,2017050114,99,51,광주 동구 서남로 1
757,390973,광주 동구,서석동,2017050214,51,5,광주 동구 서남로 1
