,Unnamed: 0,Unnamed: 0.1,지역,측정소명,측정일시,미세먼지,초미세먼지,주소
1,390217,390217,광주 동구,서석동,2017040102,48.0,37.0,광주 동구 서남로 1
3,390219,390219,광주 동구,서석동,2017040104,58.0,43.0,광주 동구 서남로 1
5,390221,390221,광주 동구,서석동,2017040106,76.0,61.0,광주 동구 서남로 1
7,390223,390223,광주 동구,서석동,2017040108,83.0,60.0,광주 동구 서남로 1
9,390225,390225,광주 동구,서석동,2017040110,,,광주 동구 서남로 1
11,390227,390227,광주 동구,서석동,2017040112,,,광주 동구 서남로 1
13,390229,390229,광주 동구,서석동,2017040114,,,광주 동구 서남로 1
15,390231,390231,광주 동구,서석동,2017040116,30.0,15.0,광주 동구 서남로 1
17,390233,390233,광주 동구,서석동,2017040118,25.0,7.0,광주 동구 서남로 1
19,390235,390235,광주 동구,서석동,2017040120,23.0,7.0,광주 동구 서남로 1
21,390237,390237,광주 동구,서석동,2017040122,34.0,21.0,광주 동구 서남로 1
23,390239,390239,광주 동구,서석동,2017040124,41.0,18.0,광주 동구 서남로 1
25,390241,390241,광주 동구,서석동,2017040202,41.0,21.0,광주 동구 서남로 1
27,390243,390243,광주 동구,서석동,2017040204,42.0,27.0,광주 동구 서남로 1
29,390245,390245,광주 동구,서석동,2017040206,42.0,25.0,광주 동구 서남로 1
31,390247,390247,광주 동구,서석동,2017040208,45.0,30.0,광주 동구 서남로 1
33,390249,390249,광주 동구,서석동,2017040210,58.0,35.0,광주 동구 서남로 1
35,390251,390251,광주 동구,서석동,2017040212,54.0,31.0,광주 동구 서남로 1
37,390253,390253,광주 동구,서석동,2017040214,53.0,19.0,광주 동구 서남로 1
39,390255,390255,광주 동구,서석동,2017040216,49.0,17.0,광주 동구 서남로 1
41,390257,390257,광주 동구,서석동,2017040218,43.0,17.0,광주 동구 서남로 1
43,390259,390259,광주 동구,서석동,2017040220,51.0,25.0,광주 동구 서남로 1
45,390261,390261,광주 동구,서석동,2017040222,64.0,42.0,광주 동구 서남로 1
47,390263,390263,광주 동구,서석동,2017040224,68.0,39.0,광주 동구 서남로 1
49,390265,390265,광주 동구,서석동,2017040302,68.0,44.0,광주 동구 서남로 1
51,390267,390267,광주 동구,서석동,2017040304,66.0,42.0,광주 동구 서남로 1
53,390269,390269,광주 동구,서석동,2017040306,65.0,49.0,광주 동구 서남로 1
55,390271,390271,광주 동구,서석동,2017040308,73.0,52.0,광주 동구 서남로 1
57,390273,390273,광주 동구,서석동,2017040310,102.0,70.0,광주 동구 서남로 1
59,390275,390275,광주 동구,서석동,2017040312,88.0,60.0,광주 동구 서남로 1
61,390277,390277,광주 동구,서석동,2017040314,61.0,38.0,광주 동구 서남로 1
63,390279,390279,광주 동구,서석동,2017040316,47.0,23.0,광주 동구 서남로 1
65,390281,390281,광주 동구,서석동,2017040318,41.0,13.0,광주 동구 서남로 1
67,390283,390283,광주 동구,서석동,2017040320,46.0,25.0,광주 동구 서남로 1
69,390285,390285,광주 동구,서석동,2017040322,51.0,30.0,광주 동구 서남로 1
71,390287,390287,광주 동구,서석동,2017040324,50.0,29.0,광주 동구 서남로 1
