,Unnamed: 0,지역,측정소명,측정일시,미세먼지,초미세먼지,주소
13,397453,광주 동구,서석동,2017100114,28,18,광주 동구 서남로 1
37,397477,광주 동구,서석동,2017100214,17,14,광주 동구 서남로 1
61,397501,광주 동구,서석동,2017100314,41,17,광주 동구 서남로 1
85,397525,광주 동구,서석동,2017100414,47,29,광주 동구 서남로 1
109,397549,광주 동구,서석동,2017100514,22,10,광주 동구 서남로 1
133,397573,광주 동구,서석동,2017100614,15,14,광주 동구 서남로 1
157,397597,광주 동구,서석동,2017100714,11,9,광주 동구 서남로 1
181,397621,광주 동구,서석동,2017100814,16,9,광주 동구 서남로 1
205,397645,광주 동구,서석동,2017100914,27,24,광주 동구 서남로 1
229,397669,광주 동구,서석동,2017101014,31,18,광주 동구 서남로 1
253,397693,광주 동구,서석동,2017101114,14,10,광주 동구 서남로 1
277,397717,광주 동구,서석동,2017101214,36,20,광주 동구 서남로 1
301,397741,광주 동구,서석동,2017101314,21,12,광주 동구 서남로 1
325,397765,광주 동구,서석동,2017101414,20,10,광주 동구 서남로 1
349,397789,광주 동구,서석동,2017101514,26,15,광주 동구 서남로 1
373,397813,광주 동구,서석동,2017101614,27,12,광주 동구 서남로 1
397,397837,광주 동구,서석동,2017101714,32,20,광주 동구 서남로 1
421,397861,광주 동구,서석동,2017101814,24,16,광주 동구 서남로 1
445,397885,광주 동구,서석동,2017101914,29,16,광주 동구 서남로 1
469,397909,광주 동구,서석동,2017102014,19,11,광주 동구 서남로 1
493,397933,광주 동구,서석동,2017102114,25,14,광주 동구 서남로 1
517,397957,광주 동구,서석동,2017102214,22,13,광주 동구 서남로 1
541,397981,광주 동구,서석동,2017102314,27,13,광주 동구 서남로 1
565,398005,광주 동구,서석동,2017102414,42,23,광주 동구 서남로 1
589,398029,광주 동구,서석동,2017102514,54,30,광주 동구 서남로 1
613,398053,광주 동구,서석동,2017102614,61,44,광주 동구 서남로 1
637,398077,광주 동구,서석동,2017102714,80,60,광주 동구 서남로 1
661,398101,광주 동구,서석동,2017102814,36,26,광주 동구 서남로 1
685,398125,광주 동구,서석동,2017102914,133,42,광주 동구 서남로 1
709,398149,광주 동구,서석동,2017103014,37,19,광주 동구 서남로 1
733,398173,광주 동구,서석동,2017103114,34,19,광주 동구 서남로 1
757,398197,광주 동구,서석동,2017110114,47,28,광주 동구 서남로 1
781,398221,광주 동구,서석동,2017110214,77,52,광주 동구 서남로 1
805,398245,광주 동구,서석동,2017110314,86,64,광주 동구 서남로 1
829,398269,광주 동구,서석동,2017110414,69,60,광주 동구 서남로 1
853,398293,광주 동구,서석동,2017110514,31,24,광주 동구 서남로 1
877,398317,광주 동구,서석동,2017110614,72,50,광주 동구 서남로 1
901,398341,광주 동구,서석동,2017110714,63,37,광주 동구 서남로 1
925,398365,광주 동구,서석동,2017110814,185,70,광주 동구 서남로 1
