,Unnamed: 0,Unnamed: 0.1,지역,측정소명,측정일시,미세먼지,초미세먼지,주소
1,395977,395977,광주 동구,서석동,2017070102,13.0,5.0,광주 동구 서남로 1
3,395979,395979,광주 동구,서석동,2017070104,10.0,6.0,광주 동구 서남로 1
5,395981,395981,광주 동구,서석동,2017070106,11.0,5.0,광주 동구 서남로 1
7,395983,395983,광주 동구,서석동,2017070108,16.0,8.0,광주 동구 서남로 1
9,395985,395985,광주 동구,서석동,2017070110,14.0,8.0,광주 동구 서남로 1
11,395987,395987,광주 동구,서석동,2017070112,16.0,9.0,광주 동구 서남로 1
13,395989,395989,광주 동구,서석동,2017070114,20.0,12.0,광주 동구 서남로 1
15,395991,395991,광주 동구,서석동,2017070116,18.0,10.0,광주 동구 서남로 1
17,395993,395993,광주 동구,서석동,2017070118,18.0,10.0,광주 동구 서남로 1
19,395995,395995,광주 동구,서석동,2017070120,20.0,10.0,광주 동구 서남로 1
21,395997,395997,광주 동구,서석동,2017070122,14.0,9.0,광주 동구 서남로 1
23,395999,395999,광주 동구,서석동,2017070124,15.0,9.0,광주 동구 서남로 1
25,396001,396001,광주 동구,서석동,2017070202,10.0,4.0,광주 동구 서남로 1
27,396003,396003,광주 동구,서석동,2017070204,11.0,5.0,광주 동구 서남로 1
29,396005,396005,광주 동구,서석동,2017070206,7.0,4.0,광주 동구 서남로 1
31,396007,396007,광주 동구,서석동,2017070208,6.0,2.0,광주 동구 서남로 1
33,396009,396009,광주 동구,서석동,2017070210,6.0,2.0,광주 동구 서남로 1
35,396011,396011,광주 동구,서석동,2017070212,3.0,1.0,광주 동구 서남로 1
37,396013,396013,광주 동구,서석동,2017070214,3.0,1.0,광주 동구 서남로 1
39,396015,396015,광주 동구,서석동,2017070216,3.0,2.0,광주 동구 서남로 1
41,396017,396017,광주 동구,서석동,2017070218,6.0,2.0,광주 동구 서남로 1
43,396019,396019,광주 동구,서석동,2017070220,3.0,1.0,광주 동구 서남로 1
45,396021,396021,광주 동구,서석동,2017070222,2.0,1.0,광주 동구 서남로 1
47,396023,396023,광주 동구,서석동,2017070224,4.0,1.0,광주 동구 서남로 1
49,396025,396025,광주 동구,서석동,2017070302,3.0,2.0,광주 동구 서남로 1
51,396027,396027,광주 동구,서석동,2017070304,6.0,3.0,광주 동구 서남로 1
53,396029,396029,광주 동구,서석동,2017070306,3.0,1.0,광주 동구 서남로 1
55,396031,396031,광주 동구,서석동,2017070308,8.0,4.0,광주 동구 서남로 1
57,396033,396033,광주 동구,서석동,2017070310,10.0,3.0,광주 동구 서남로 1
59,396035,396035,광주 동구,서석동,2017070312,13.0,7.0,광주 동구 서남로 1
61,396037,396037,광주 동구,서석동,2017070314,13.0,5.0,광주 동구 서남로 1
63,396039,396039,광주 동구,서석동,2017070316,7.0,6.0,광주 동구 서남로 1
65,396041,396041,광주 동구,서석동,2017070318,8.0,1.0,광주 동구 서남로 1
67,396043,396043,광주 동구,서석동,2017070320,3.0,1.0,광주 동구 서남로 1
69,396045,396045,광주 동구,서석동,2017070322,2.0,1.0,광주 동구 서남로 1
71,396047,396047,광주 동구,서석동,2017070324,6.0,2.0,광주 동구 서남로 1
73,396049,396049,광주 동구,서석동,2017070402,9.0,3.0,광주 동구 서남로 1
75,396051,396051,광주 동구,서석동,2017070404,6.0,2.0,광주 동구 서남로 1
