,Unnamed: 0,지역,측정소명,측정일시,미세먼지,초미세먼지,주소
386269,386269,광주 동구,서석동,2017031614,31,11,광주 동구 서남로 1
386293,386293,광주 동구,서석동,2017031714,42,22,광주 동구 서남로 1
386317,386317,광주 동구,서석동,2017031814,102,60,광주 동구 서남로 1
386341,386341,광주 동구,서석동,2017031914,51,29,광주 동구 서남로 1
386365,386365,광주 동구,서석동,2017032014,77,45,광주 동구 서남로 1
386389,386389,광주 동구,서석동,2017032114,39,11,광주 동구 서남로 1
386413,386413,광주 동구,서석동,2017032214,44,19,광주 동구 서남로 1
386437,386437,광주 동구,서석동,2017032314,55,30,광주 동구 서남로 1
386461,386461,광주 동구,서석동,2017032414,90,52,광주 동구 서남로 1
386485,386485,광주 동구,서석동,2017032514,8,4,광주 동구 서남로 1
386509,386509,광주 동구,서석동,2017032614,40,20,광주 동구 서남로 1
386533,386533,광주 동구,서석동,2017032714,86,58,광주 동구 서남로 1
386557,386557,광주 동구,서석동,2017032814,45,24,광주 동구 서남로 1
386581,386581,광주 동구,서석동,2017032914,44,26,광주 동구 서남로 1
386605,386605,광주 동구,서석동,2017033014,45,26,광주 동구 서남로 1
386629,386629,광주 동구,서석동,2017033114,34,22,광주 동구 서남로 1
