ÁöÁ¡,ÀÏ½Ã,Æò±Õ±â¿Â(¡ÆC),ÀÏ°­¼ö·®(mm),Æò±Õ Ç³¼Ó(m/s)
722,2017-01-01,4.1,0,1.5
722,2017-01-02,7.4,0,1.3
722,2017-01-03,5.1,0,1.4
722,2017-01-04,4.3,0,1.2
722,2017-01-05,6.3,0,0.9
722,2017-01-06,7.6,0,1.3
722,2017-01-07,6,0,1.1
722,2017-01-08,8.5,2,1.7
722,2017-01-09,5,0,3.4
722,2017-01-10,2.6,0,2.9
722,2017-01-11,0,0,2.5
722,2017-01-12,2.2,0,2.1
722,2017-01-13,0.1,0,2.4
722,2017-01-14,-3,0,3.8
722,2017-01-15,-3,0,2.3
722,2017-01-16,-1,0,1.6
722,2017-01-17,-0.6,0,1.4
722,2017-01-18,3.1,0,1.9
722,2017-01-19,2.1,0,1.7
722,2017-01-20,-0.3,0,3.6
722,2017-01-21,-0.5,0,1.4
722,2017-01-22,-1.9,1.5,2.8
722,2017-01-23,-3.7,1,2.1
722,2017-01-24,-1.9,0,1.9
722,2017-01-25,-1.4,0,1.4
722,2017-01-26,0.3,0,1.8
722,2017-01-27,2.2,0.5,3
722,2017-01-28,3.5,0,1.5
722,2017-01-29,5.2,6,1
722,2017-01-30,-0.1,0.5,4.2
722,2017-01-31,-1.1,0,2.1
722,2017-02-01,0,0,2.6
722,2017-02-02,0.1,0,2
722,2017-02-03,2.8,0,1.5
722,2017-02-04,6.5,1.5,1.1
722,2017-02-05,5.3,1,2.2
722,2017-02-06,1.7,0,4
722,2017-02-07,1.9,0,1.8
722,2017-02-08,1.7,0,2.1
722,2017-02-09,-1.3,0,4.5
722,2017-02-10,-3.5,1,2.6
722,2017-02-11,-1.8,0,2.2
722,2017-02-12,1,0,1.9
722,2017-02-13,2.4,0,1.6
722,2017-02-14,3.4,0,2.2
722,2017-02-15,3.6,0,1.7
722,2017-02-16,8.2,4.5,2.5
722,2017-02-17,5.8,1.5,3.4
722,2017-02-18,0.9,0,2.7
722,2017-02-19,5.3,0,3
722,2017-02-20,3.5,8,4.2
722,2017-02-21,2.8,0,1.9
722,2017-02-22,6.1,21,2.6
722,2017-02-23,1.6,0,4.5
722,2017-02-24,1.6,0,2.6
722,2017-02-25,3.9,0,2
722,2017-02-26,4.2,0,1.8
722,2017-02-27,4.5,0,1.8
722,2017-02-28,5.4,0,1.9
722,2017-03-01,7.3,2.5,2.2
